saif,subkind,class_top,class_full,group_top,group_full,sum
רשויות פיקוח,תקציב רגיל,קניות,רזרבה,הוצאות אחרות,הוצאות שונות,48054.0
שיכון,תקציב פיתוח,הכנסות מיועדות,הכנסות תקציב פיתוח,תשתיות,בינוי ושיכון,350389.0
המשרד להגנת הסביבה,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,ענפי משק,הגנת הסביבה,0.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,העברות,מוצרים ציבוריים,תשתיות,רשות מקרקעי ישראל,400000.0
משרד הבינוי והשיכון,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,תשתיות,בינוי ושיכון,0.0
משרד הבריאות,תקציב פיתוח,השקעה,השקעה בארץ,שירותים חברתיים,בריאות,222599.0
גמלאות ופיצויים,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,הוצאות אחרות,גמלאות,10773801.0
המשרד לקליטת העליה,תקציב רגיל,העברות,שכר עקיף,שירותים חברתיים,קליטת עליה,190685.0
בתי חולים ממשלתים,מפעלים עסקיים,שכר,שכר בארץ,שירותים חברתיים,בריאות,6994691.0
משרד החינוך,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,שירותים חברתיים,חינוך,8659471.0
משרד החוץ,תקציב רגיל,קניות,"קניות בחו""ל",משרדי מטה,חוץ,240776.0
תאום הפעולות בשטחים,תקציב רגיל,קניות,קניות בארץ,בטחון וסדר ציבורי,בטחון-אחר,4425.0
המרכז למיפוי ישראל,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,תשתיות,בינוי ושיכון,15360.0
הכנסת,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,משרדים נוספים,0.0
משרד הכלכלה,תקציב רגיל,העברות,רזרבה,ענפי משק,תעשיה ותעסוקה,107862.0
המשרד להגנת הסביבה,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,ענפי משק,הגנת הסביבה,0.0
השכלה גבוהה,תקציב רגיל,העברות,מוצרים ציבוריים,שירותים חברתיים,השכלה גבוהה,9661898.0
המרכז למיפוי ישראל,תקציב רגיל,שכר,שכר בארץ,תשתיות,בינוי ושיכון,53101.0
משרד החינוך,תקציב רגיל,שכר,שכר בארץ,שירותים חברתיים,חינוך,13515590.0
המשרד לשירותי דת,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,שירותי דת,12825.0
משרד התקשורת,תקציב רגיל,קניות,קניות בארץ,ענפי משק,תקשורת,9105.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,הוצאות הון,רזרבה להוצאות הון,תשתיות,רשות מקרקעי ישראל,11900.0
משרד הבינוי והשיכון,תקציב רגיל,קניות,רזרבה,תשתיות,בינוי ושיכון,3672.0
תשלום חובות,החזר חובות,החזר חוב - קרן,החזר קרן ביטוח לאומי,החזרי חוב,קרן - ביטוח לאומי,11693000.0
פיתוח המשרד לביטחון-,תקציב פיתוח,השקעה,השקעה בארץ,בטחון וסדר ציבורי,בטחון פנים,355241.0
חינוך,תקציב פיתוח,השקעה,השקעה בארץ,שירותים חברתיים,חינוך,344191.0
הכנסת,תקציב רגיל,שכר,שכר בארץ,משרדי מטה,משרדים נוספים,314740.0
המשרד לקליטת העליה,תקציב רגיל,העברות,תשלומי העברה סוציאליים,שירותים חברתיים,קליטת עליה,601453.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,שכר,רזרבה,תשתיות,רשות מקרקעי ישראל,6510.0
משרד הבריאות,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,שירותים חברתיים,בריאות,1416025.0
המרכז למיפוי ישראל,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,תשתיות,בינוי ושיכון,0.0
רשויות פיקוח,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,הוצאות אחרות,הוצאות שונות,27871.0
המשרד להגנת הסביבה,תקציב רגיל,שכר,שכר בארץ,ענפי משק,הגנת הסביבה,137998.0
מבקר המדינה,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,משרדים נוספים,55155.0
רשויות מקומיות,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,פנים ושלטון מקומי,4258145.0
משרד האוצר,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,אוצר,206928.0
נשיא המדינה ולשכתו,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,משרדים נוספים,52226.0
משרד החינוך,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,שירותים חברתיים,חינוך,0.0
משרד הרווחה והשירותים,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,שירותים חברתיים,רווחה,2874215.0
משרד האנרגיה והמים,תקציב רגיל,העברות,סובסידיה,תשתיות,אנרגיה,227016.0
משרד האנרגיה והמים,תקציב רגיל,קניות,"קניות בחו""ל",תשתיות,אנרגיה,0.0
פיתוח המשרד לביטחון-,תקציב פיתוח,העברות  פנים תקציביות,השתתפויות,בטחון וסדר ציבורי,בטחון פנים,110822.0
משרד הכלכלה,תקציב רגיל,קניות,קניות בארץ,ענפי משק,תעשיה ותעסוקה,2379738.0
"בתי""ח פסיכיאטרים",מפעלים עסקיים,קניות,קניות בארץ,שירותים חברתיים,בריאות,0.0
הוצאות שונות,תקציב רגיל,קניות,רזרבה,הוצאות אחרות,הוצאות שונות,105273.0
משרד המשפטים,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,משפטים,2057020.0
מענקי בינוי ושיכון,תקציב רגיל,העברות,תשלומי העברה סוציאליים,תשתיות,בינוי ושיכון,884510.0
בתי חולים ממשלתים,מפעלים עסקיים,העברות  פנים תקציביות,הפחתות,שירותים חברתיים,בריאות,2672129.0
משרד החוץ,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,חוץ,1035906.0
רשויות פיקוח,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,הוצאות אחרות,הוצאות שונות,0.0
